venue,asset,ladder,event,ticker,contract,settle_utc,strike_type,floor,cap,yes_bid,yes_ask,no_bid,no_ask,last,volume,open_interest,bid_depth,ask_depth
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54750,"$54,700 to 54,799.99",2026-08-03T16:00:00Z,between,54700.0,54799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54850,"$54,800 to 54,899.99",2026-08-03T16:00:00Z,between,54800.0,54899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54950,"$54,900 to 54,999.99",2026-08-03T16:00:00Z,between,54900.0,54999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55050,"$55,000 to 55,099.99",2026-08-03T16:00:00Z,between,55000.0,55099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55150,"$55,100 to 55,199.99",2026-08-03T16:00:00Z,between,55100.0,55199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55250,"$55,200 to 55,299.99",2026-08-03T16:00:00Z,between,55200.0,55299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55350,"$55,300 to 55,399.99",2026-08-03T16:00:00Z,between,55300.0,55399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55450,"$55,400 to 55,499.99",2026-08-03T16:00:00Z,between,55400.0,55499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55550,"$55,500 to 55,599.99",2026-08-03T16:00:00Z,between,55500.0,55599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55650,"$55,600 to 55,699.99",2026-08-03T16:00:00Z,between,55600.0,55699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55750,"$55,700 to 55,799.99",2026-08-03T16:00:00Z,between,55700.0,55799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55850,"$55,800 to 55,899.99",2026-08-03T16:00:00Z,between,55800.0,55899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B55950,"$55,900 to 55,999.99",2026-08-03T16:00:00Z,between,55900.0,55999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56050,"$56,000 to 56,099.99",2026-08-03T16:00:00Z,between,56000.0,56099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56150,"$56,100 to 56,199.99",2026-08-03T16:00:00Z,between,56100.0,56199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56250,"$56,200 to 56,299.99",2026-08-03T16:00:00Z,between,56200.0,56299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56350,"$56,300 to 56,399.99",2026-08-03T16:00:00Z,between,56300.0,56399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56450,"$56,400 to 56,499.99",2026-08-03T16:00:00Z,between,56400.0,56499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56550,"$56,500 to 56,599.99",2026-08-03T16:00:00Z,between,56500.0,56599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56650,"$56,600 to 56,699.99",2026-08-03T16:00:00Z,between,56600.0,56699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56750,"$56,700 to 56,799.99",2026-08-03T16:00:00Z,between,56700.0,56799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56850,"$56,800 to 56,899.99",2026-08-03T16:00:00Z,between,56800.0,56899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B56950,"$56,900 to 56,999.99",2026-08-03T16:00:00Z,between,56900.0,56999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57050,"$57,000 to 57,099.99",2026-08-03T16:00:00Z,between,57000.0,57099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57150,"$57,100 to 57,199.99",2026-08-03T16:00:00Z,between,57100.0,57199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57250,"$57,200 to 57,299.99",2026-08-03T16:00:00Z,between,57200.0,57299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57350,"$57,300 to 57,399.99",2026-08-03T16:00:00Z,between,57300.0,57399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57450,"$57,400 to 57,499.99",2026-08-03T16:00:00Z,between,57400.0,57499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57550,"$57,500 to 57,599.99",2026-08-03T16:00:00Z,between,57500.0,57599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57650,"$57,600 to 57,699.99",2026-08-03T16:00:00Z,between,57600.0,57699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57750,"$57,700 to 57,799.99",2026-08-03T16:00:00Z,between,57700.0,57799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57850,"$57,800 to 57,899.99",2026-08-03T16:00:00Z,between,57800.0,57899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B57950,"$57,900 to 57,999.99",2026-08-03T16:00:00Z,between,57900.0,57999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58050,"$58,000 to 58,099.99",2026-08-03T16:00:00Z,between,58000.0,58099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58150,"$58,100 to 58,199.99",2026-08-03T16:00:00Z,between,58100.0,58199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58250,"$58,200 to 58,299.99",2026-08-03T16:00:00Z,between,58200.0,58299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58350,"$58,300 to 58,399.99",2026-08-03T16:00:00Z,between,58300.0,58399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58450,"$58,400 to 58,499.99",2026-08-03T16:00:00Z,between,58400.0,58499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58550,"$58,500 to 58,599.99",2026-08-03T16:00:00Z,between,58500.0,58599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58650,"$58,600 to 58,699.99",2026-08-03T16:00:00Z,between,58600.0,58699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58750,"$58,700 to 58,799.99",2026-08-03T16:00:00Z,between,58700.0,58799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58850,"$58,800 to 58,899.99",2026-08-03T16:00:00Z,between,58800.0,58899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B58950,"$58,900 to 58,999.99",2026-08-03T16:00:00Z,between,58900.0,58999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59050,"$59,000 to 59,099.99",2026-08-03T16:00:00Z,between,59000.0,59099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59150,"$59,100 to 59,199.99",2026-08-03T16:00:00Z,between,59100.0,59199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59250,"$59,200 to 59,299.99",2026-08-03T16:00:00Z,between,59200.0,59299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59350,"$59,300 to 59,399.99",2026-08-03T16:00:00Z,between,59300.0,59399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59450,"$59,400 to 59,499.99",2026-08-03T16:00:00Z,between,59400.0,59499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59550,"$59,500 to 59,599.99",2026-08-03T16:00:00Z,between,59500.0,59599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59650,"$59,600 to 59,699.99",2026-08-03T16:00:00Z,between,59600.0,59699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59750,"$59,700 to 59,799.99",2026-08-03T16:00:00Z,between,59700.0,59799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59850,"$59,800 to 59,899.99",2026-08-03T16:00:00Z,between,59800.0,59899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B59950,"$59,900 to 59,999.99",2026-08-03T16:00:00Z,between,59900.0,59999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60050,"$60,000 to 60,099.99",2026-08-03T16:00:00Z,between,60000.0,60099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60150,"$60,100 to 60,199.99",2026-08-03T16:00:00Z,between,60100.0,60199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60250,"$60,200 to 60,299.99",2026-08-03T16:00:00Z,between,60200.0,60299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60350,"$60,300 to 60,399.99",2026-08-03T16:00:00Z,between,60300.0,60399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60450,"$60,400 to 60,499.99",2026-08-03T16:00:00Z,between,60400.0,60499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60550,"$60,500 to 60,599.99",2026-08-03T16:00:00Z,between,60500.0,60599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60650,"$60,600 to 60,699.99",2026-08-03T16:00:00Z,between,60600.0,60699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60750,"$60,700 to 60,799.99",2026-08-03T16:00:00Z,between,60700.0,60799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60850,"$60,800 to 60,899.99",2026-08-03T16:00:00Z,between,60800.0,60899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B60950,"$60,900 to 60,999.99",2026-08-03T16:00:00Z,between,60900.0,60999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61050,"$61,000 to 61,099.99",2026-08-03T16:00:00Z,between,61000.0,61099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61150,"$61,100 to 61,199.99",2026-08-03T16:00:00Z,between,61100.0,61199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61250,"$61,200 to 61,299.99",2026-08-03T16:00:00Z,between,61200.0,61299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61350,"$61,300 to 61,399.99",2026-08-03T16:00:00Z,between,61300.0,61399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61450,"$61,400 to 61,499.99",2026-08-03T16:00:00Z,between,61400.0,61499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61550,"$61,500 to 61,599.99",2026-08-03T16:00:00Z,between,61500.0,61599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61650,"$61,600 to 61,699.99",2026-08-03T16:00:00Z,between,61600.0,61699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61750,"$61,700 to 61,799.99",2026-08-03T16:00:00Z,between,61700.0,61799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61850,"$61,800 to 61,899.99",2026-08-03T16:00:00Z,between,61800.0,61899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B61950,"$61,900 to 61,999.99",2026-08-03T16:00:00Z,between,61900.0,61999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62050,"$62,000 to 62,099.99",2026-08-03T16:00:00Z,between,62000.0,62099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62150,"$62,100 to 62,199.99",2026-08-03T16:00:00Z,between,62100.0,62199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62250,"$62,200 to 62,299.99",2026-08-03T16:00:00Z,between,62200.0,62299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62350,"$62,300 to 62,399.99",2026-08-03T16:00:00Z,between,62300.0,62399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62450,"$62,400 to 62,499.99",2026-08-03T16:00:00Z,between,62400.0,62499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62550,"$62,500 to 62,599.99",2026-08-03T16:00:00Z,between,62500.0,62599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62650,"$62,600 to 62,699.99",2026-08-03T16:00:00Z,between,62600.0,62699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62750,"$62,700 to 62,799.99",2026-08-03T16:00:00Z,between,62700.0,62799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62850,"$62,800 to 62,899.99",2026-08-03T16:00:00Z,between,62800.0,62899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B62950,"$62,900 to 62,999.99",2026-08-03T16:00:00Z,between,62900.0,62999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63050,"$63,000 to 63,099.99",2026-08-03T16:00:00Z,between,63000.0,63099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63150,"$63,100 to 63,199.99",2026-08-03T16:00:00Z,between,63100.0,63199.99,0.0,0.14,0.86,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63250,"$63,200 to 63,299.99",2026-08-03T16:00:00Z,between,63200.0,63299.99,0.0,0.14,0.86,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63350,"$63,300 to 63,399.99",2026-08-03T16:00:00Z,between,63300.0,63399.99,0.02,0.05,0.95,0.98,0.08,181.0,181.0,100.0,5700.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63450,"$63,400 to 63,499.99",2026-08-03T16:00:00Z,between,63400.0,63499.99,0.04,0.1,0.9,0.96,0.0,0.0,0.0,412.0,5966.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63550,"$63,500 to 63,599.99",2026-08-03T16:00:00Z,between,63500.0,63599.99,0.15,0.19,0.81,0.85,0.19,283.72,283.72,2369.0,8194.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63650,"$63,600 to 63,699.99",2026-08-03T16:00:00Z,between,63600.0,63699.99,0.23,0.29,0.71,0.77,0.28,1633.58,1519.74,2479.0,7741.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63750,"$63,700 to 63,799.99",2026-08-03T16:00:00Z,between,63700.0,63799.99,0.21,0.26,0.74,0.79,0.26,1628.62,1608.68,2375.0,8351.75
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63850,"$63,800 to 63,899.99",2026-08-03T16:00:00Z,between,63800.0,63899.99,0.14,0.15,0.85,0.86,0.12,4067.06,3472.07,955.0,6736.38
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B63950,"$63,900 to 63,999.99",2026-08-03T16:00:00Z,between,63900.0,63999.99,0.07,0.08,0.92,0.93,0.1,274.71,274.69,2424.0,8259.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64050,"$64,000 to 64,099.99",2026-08-03T16:00:00Z,between,64000.0,64099.99,0.02,0.03,0.97,0.98,0.02,100.79,100.79,0.15,8203.0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64150,"$64,100 to 64,199.99",2026-08-03T16:00:00Z,between,64100.0,64199.99,0.0,0.02,0.98,1.0,0.02,100.0,100.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64250,"$64,200 to 64,299.99",2026-08-03T16:00:00Z,between,64200.0,64299.99,0.0,0.02,0.98,1.0,0.02,103.12,103.12,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64350,"$64,300 to 64,399.99",2026-08-03T16:00:00Z,between,64300.0,64399.99,0.0,0.03,0.97,1.0,0.02,104.67,104.67,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64450,"$64,400 to 64,499.99",2026-08-03T16:00:00Z,between,64400.0,64499.99,0.0,0.03,0.97,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64550,"$64,500 to 64,599.99",2026-08-03T16:00:00Z,between,64500.0,64599.99,0.0,0.14,0.86,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64650,"$64,600 to 64,699.99",2026-08-03T16:00:00Z,between,64600.0,64699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64750,"$64,700 to 64,799.99",2026-08-03T16:00:00Z,between,64700.0,64799.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64850,"$64,800 to 64,899.99",2026-08-03T16:00:00Z,between,64800.0,64899.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B64950,"$64,900 to 64,999.99",2026-08-03T16:00:00Z,between,64900.0,64999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65050,"$65,000 to 65,099.99",2026-08-03T16:00:00Z,between,65000.0,65099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65150,"$65,100 to 65,199.99",2026-08-03T16:00:00Z,between,65100.0,65199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65250,"$65,200 to 65,299.99",2026-08-03T16:00:00Z,between,65200.0,65299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65350,"$65,300 to 65,399.99",2026-08-03T16:00:00Z,between,65300.0,65399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65450,"$65,400 to 65,499.99",2026-08-03T16:00:00Z,between,65400.0,65499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65550,"$65,500 to 65,599.99",2026-08-03T16:00:00Z,between,65500.0,65599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B65650,"$65,600 to 65,699.99",2026-08-03T16:00:00Z,between,65600.0,65699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
