venue,asset,ladder,event,ticker,contract,settle_utc,best_bid,best_ask,last,volume,liquidity,bid_depth,ask_depth,yes_token
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-56k-on-august-5-2026,"56,000",2026-08-05T16:00:00Z,0.992,0.996,0.996,33731.267828000004,21938.26518,273624.50000000006,10487.25,16506361635337097628268743003154754787298226878694584142284250084427669491431
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-58k-on-august-5-2026,"58,000",2026-08-05T16:00:00Z,0.99,0.992,0.989,64969.498028000016,22685.31839,278513.91000000003,36520.47,6317942472811341094293656478360045700492895437312709422593537393109856459100
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-60k-on-august-5-2026,"60,000",2026-08-05T16:00:00Z,0.977,0.986,0.97,36703.48549200002,23367.86109,277939.3699999999,69112.03,100447473999583318525394175805866886577554436378977722198114719095367150281687
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-62k-on-august-5-2026,"62,000",2026-08-05T16:00:00Z,0.89,0.9,0.89,20324.662293999987,22819.7906,133680.63,22291.5,36842437685322270692352133991311219570859897119188341575202231580322859252283
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-64k-on-august-5-2026,"64,000",2026-08-05T16:00:00Z,0.44,0.46,0.48,9928.252324,23525.9773,114188.34000000001,113322.18,49148473628784738582155283794246581491526564573295737001605875371866806072444
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-66k-on-august-5-2026,"66,000",2026-08-05T16:00:00Z,0.065,0.07,0.077,30292.163951,22557.41006,85222.11999999997,275395.89,48074944254536434311338290516973434626240513566356899096614540759555497900503
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-68k-on-august-5-2026,"68,000",2026-08-05T16:00:00Z,0.005,0.008,0.008,18167.073163000005,24120.61317,45124.42999999999,278699.15,82729512249771968402100363869277714003123074776370194393682824382397207279871
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-70k-on-august-5-2026,"70,000",2026-08-05T16:00:00Z,0.001,0.005,0.005,34334.85592,26701.29152,99.99,278859.97000000003,46490842908643046547689910339900003496011884258043754375290356971485916778776
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-72k-on-august-5-2026,"72,000",2026-08-05T16:00:00Z,0.001,0.004,0.004,2302.7603299999996,28739.23481,22222.0,280644.77,89161095595733354708265369970046073458065228421642574362945320355131032797317
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-74k-on-august-5-2026,"74,000",2026-08-05T16:00:00Z,,0.003,0.003,1916.8689080000001,26813.4482,0,279599.88,22136339408942481294407471077332780460306307216221623910305973738201723930783
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-54k-on-august-6-2026,"54,000",2026-08-06T16:00:00Z,0.991,1,0.998,4880.100785999999,14139.99069,264720.74999999994,0,16796758355581576416379611468407754682388902873440751628437952735066245963171
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-56k-on-august-6-2026,"56,000",2026-08-06T16:00:00Z,0.983,0.997,0.976,1658.75115,18647.35758,269448.94999999995,906.6600000000001,92631115308575125008161411911367356597379965970520932279028282407499409339128
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-58k-on-august-6-2026,"58,000",2026-08-06T16:00:00Z,0.976,0.998,0.95,41330.600187000004,18785.29281,270347.56,22038.25,105607061721936471384731443872695401395845237741825820614070454897715047469002
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-60k-on-august-6-2026,"60,000",2026-08-06T16:00:00Z,0.963,0.971,0.969,9769.418703999998,20334.78159,276243.26000000007,68709.98000000001,35202091605821863454545173268662657263961912544646092754107683775810997592653
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-62k-on-august-6-2026,"62,000",2026-08-06T16:00:00Z,0.85,0.86,0.85,5867.531609000001,19828.088,127127.16,12384.48,43652889434855544783127623186394045333766959241793588244624051687891019352054
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-64k-on-august-6-2026,"64,000",2026-08-06T16:00:00Z,0.43,0.46,0.47,4740.126375,21790.5341,111969.59,121305.61,98487888284151421022061590031520082231279600523825946648243036178477245912736
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-66k-on-august-6-2026,"66,000",2026-08-06T16:00:00Z,0.089,0.1,0.1,7361.247591000001,20165.37152,61291.990000000005,270963.35,3340109817071240225470510073575863808671267001514203880829474585283814183618
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-68k-on-august-6-2026,"68,000",2026-08-06T16:00:00Z,0.01,0.019,0.015,1732.170784,19710.0924,51831.0,270497.7700000001,5239723371673962044312487462903427920535803670625228040120893472290782790652
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-70k-on-august-6-2026,"70,000",2026-08-06T16:00:00Z,0.005,0.025,0.024,1946.919805,17906.25525,14051.0,268294.02,34768282349861777287481520703307365979143313462097534087801338697267575805025
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-72k-on-august-6-2026,"72,000",2026-08-06T16:00:00Z,0.002,0.01,0.005,436.67049999999995,11666.90795,305.78999999999996,31628.210000000003,37807437256647191602443222710974074519885857415327055780155444299044386829294
polymarket,BTC,above,bitcoin-above-on-august-6-2026,bitcoin-above-74k-on-august-6-2026,"74,000",2026-08-06T16:00:00Z,,0.007,0.001,682.6439999999999,16898.58354,0,145055.40999999997,81524018383802869325746923041994899576822788078543304295710517983375274707848
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-52k-on-august-7-2026,"52,000",2026-08-07T16:00:00Z,0.992,0.999,0.999,2086.354387,19530.51483,270266.33,13026.67,74027521033447264403838626547022888869511227208835968253921216586323219616968
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-54k-on-august-7-2026,"54,000",2026-08-07T16:00:00Z,0.992,0.998,0.997,315.631666,11872.47667,32440.200000000004,12666.0,97854387102646580952119503108164800607175478389644171193167152964863363633703
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-56k-on-august-7-2026,"56,000",2026-08-07T16:00:00Z,0.981,0.998,0.988,4899.510716,19177.03606,270317.47000000003,14349.97,102241249035576502040981339756489184428389991355715866313020929006698172221973
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-58k-on-august-7-2026,"58,000",2026-08-07T16:00:00Z,0.97,0.986,0.983,21459.695023,19007.92839,269900.05,37684.0,42863385125433831764279638424484151617778205536218479926119315701467026039407
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-60k-on-august-7-2026,"60,000",2026-08-07T16:00:00Z,0.94,0.96,0.95,7002.149633999999,19361.1128,126298.12,18123.010000000002,106460286776671198996232462489525403284014954473393072782175486295233294409818
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-62k-on-august-7-2026,"62,000",2026-08-07T16:00:00Z,0.79,0.82,0.75,9430.555244000001,19338.5494,126238.57,28724.3,52816431198695871439531332926588064118921042095977090662419664428255778586338
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-64k-on-august-7-2026,"64,000",2026-08-07T16:00:00Z,0.48,0.49,0.48,7005.160438999999,23437.162,120833.57,131798.33000000002,80833697408654238110277536174035835919081626918462723989615066293717655271236
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-66k-on-august-7-2026,"66,000",2026-08-07T16:00:00Z,0.14,0.17,0.17,2681.971144,19676.8619,13591.4,128374.63,71913484782189829942748817935858649709426535100059216178368061309779459521610
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-68k-on-august-7-2026,"68,000",2026-08-07T16:00:00Z,0.03,0.045,0.03,9392.275419,21502.96241,66300.47,273400.4,57431557197998080844834001884411443863209658467420711463497773713400078139560
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-70k-on-august-7-2026,"70,000",2026-08-07T16:00:00Z,0.002,0.026,0.013,1601.74807,18286.58421,13749.16,268979.65,37927963403854474293224401921437429937905408177260554665637400134962284196889
polymarket,BTC,above,bitcoin-above-on-august-7-2026,bitcoin-above-72k-on-august-7-2026,"72,000",2026-08-07T16:00:00Z,0.002,0.018,0.008,329.74307699999997,11320.16163,12889.17,31456.219999999998,22832757776966842197480879084395348443593391890430265640204726858386681856449
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-54k-on-august-8-2026,"54,000",2026-08-08T16:00:00Z,0.991,0.998,0.998,211.202,11423.87798,31989.670000000002,12415.0,53726211898181390287604427415784745619145546003632044979050538915628576532028
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-56k-on-august-8-2026,"56,000",2026-08-08T16:00:00Z,0.977,0.998,0.992,3230,20430.73167,271592.82,15719.0,106178570962316309145593210986752108720010909819753690579848459758711526392015
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-58k-on-august-8-2026,"58,000",2026-08-08T16:00:00Z,0.967,0.988,0.955,10995.105507,19061.55457,270172.75,37796.2,61349607419285836854662832542595973803464881904164493709462082947344994785612
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-60k-on-august-8-2026,"60,000",2026-08-08T16:00:00Z,0.93,0.95,0.93,1841.407223,19486.243,126602.45,18321.6,43092921790062877562527003378789481782878794746787681374141761105342690972188
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-62k-on-august-8-2026,"62,000",2026-08-08T16:00:00Z,0.79,0.8,0.72,1665.664644,19387.3139,126991.25,23365.23,8494758042985501963851988550605334482990243625581112569545399073420064031173
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-64k-on-august-8-2026,"64,000",2026-08-08T16:00:00Z,0.46,0.47,0.48,1629.711872,23725.1096,119194.86,128753.45999999999,78705043743201330046051540505154231839322204502210299202849554671536473065349
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-66k-on-august-8-2026,"66,000",2026-08-08T16:00:00Z,0.15,0.17,0.15,3987.6791850000004,19598.982,13746.94,127572.55,30222785044352440101667430787237769152533901222000620582020039005587133041173
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-68k-on-august-8-2026,"68,000",2026-08-08T16:00:00Z,0.027,0.03,0.029,1286.165174,19572.76506,54740.0,270444.6,99973147156140711026179604227857777849224606111901501025052348438722321477912
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-70k-on-august-8-2026,"70,000",2026-08-08T16:00:00Z,0.005,0.031,,,11018.55131,19214.0,23446.14,3617422590812391340252696823451175126211741464572213849589939833548987068459
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-72k-on-august-8-2026,"72,000",2026-08-08T16:00:00Z,0.003,0.019,,,11733.21754,13321.66,24100.08,74314256627365556443197738588470507455152298774374040821574326679949206054091
polymarket,BTC,above,bitcoin-above-on-august-8-2026,bitcoin-above-74k-on-august-8-2026,"74,000",2026-08-08T16:00:00Z,0.002,0.016,,,11265.8685,13165.0,23400.14,60309753559624809188223286721962345912228265089550762689877170051618634404142
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-54k-on-august-9-2026,"54,000",2026-08-09T16:00:00Z,0.982,0.997,0.994,200,11125.29687,31509.68,21455.0,12042639644290125706409249585467810602829607553481772554013556757771446755288
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-56k-on-august-9-2026,"56,000",2026-08-09T16:00:00Z,0.967,0.997,0.98,3480,18913.84259,269856.89,16197.589999999998,53941252506114483036586385114143559630514096062708264426848113097258507437329
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-58k-on-august-9-2026,"58,000",2026-08-09T16:00:00Z,0.968,0.97,0.969,7559.702612,22754.46396,275352.07,70015.37999999999,35250895225318082802098861369196626601000494298661865939480010651325793211598
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-60k-on-august-9-2026,"60,000",2026-08-09T16:00:00Z,0.92,0.94,0.92,1077.066648,19154.511,126195.36,16684.71,17985837504686215788989590409563496791683016120010821262087079176453347608285
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-62k-on-august-9-2026,"62,000",2026-08-09T16:00:00Z,0.76,0.79,0.76,6862.132426,20134.0614,127138.9,29125.82,33639888159856516661557571240315470099034254602840140360233912285818616371238
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-64k-on-august-9-2026,"64,000",2026-08-09T16:00:00Z,0.46,0.48,0.47,1087.693978,24515.0099,118315.09999999999,132247.29,15001217761569713800908278763658478996071325020582957014060305276373009757713
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-66k-on-august-9-2026,"66,000",2026-08-09T16:00:00Z,0.16,0.18,0.17,1261.763095,20230.54,23830.1,128623.03,6430588374243127971686276467975702141647324215167880469851928130548102031339
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-68k-on-august-9-2026,"68,000",2026-08-09T16:00:00Z,0.042,0.057,,,11568.59741,47802.75,23725.729999999996,104759855014124400435840949100561435293050047708140945547932478618327630126045
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-70k-on-august-9-2026,"70,000",2026-08-09T16:00:00Z,0.002,0.009,0.03,2571.2953299999995,12823.50379,25765.0,263123.51,31542246418846530036840674083836916221289622179274569883840598499051405526984
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-72k-on-august-9-2026,"72,000",2026-08-09T16:00:00Z,0.003,0.018,,,10813.46968,13321.66,22810.31,100833243429912627640145650019010058955440870588530795341231581667093502535856
polymarket,BTC,above,bitcoin-above-on-august-9-2026,bitcoin-above-74k-on-august-9-2026,"74,000",2026-08-09T16:00:00Z,0.001,0.014,,,10906.33723,12615.0,22845.32,49355046525116505020127058781891018251043018944073710571799601847118399852229
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-less-than-54000-on-august-4-2026,"<54,000",2026-08-04T16:00:00Z,,0.001,0.008,2480.1820230000017,36301.4324,0,287612.58999999997,48906498015577777246509056152856802288325799584039697236327791011289915763356
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-54000-56000-on-august-4-2026,"54,000-56,000",2026-08-04T16:00:00Z,,0.002,0.001,1787.176833,25142.94461,0,277244.14,112043300954491211757705772477773113930955316102643491874671606053665454742325
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-56000-58000-on-august-4-2026,"56,000-58,000",2026-08-04T16:00:00Z,0.002,0.004,0.005,6819.769557,17703.21566,9501.0,173657.65000000005,77966813381052278088491581196693507412804473285117100233990123904609956140414
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-58000-60000-on-august-4-2026,"58,000-60,000",2026-08-04T16:00:00Z,0.009,0.01,0.008,21206.626429000004,16132.75906,13706.7,141725.09000000003,68093008800067435878019620351552959633146235200085711844186675384371213231279
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-60000-62000-on-august-4-2026,"60,000-62,000",2026-08-04T16:00:00Z,0.042,0.046,0.045,14142.054873000003,16831.22351,17387.629999999997,275749.42,2323974343427378446689130577550639881883732732026558140309427156366601331276
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-62000-64000-on-august-4-2026,"62,000-64,000",2026-08-04T16:00:00Z,0.55,0.56,0.54,13020.641766,18602.9469,123996.7,111952.3,109312180208348556694437182979061877995967935358973299501202594693578494011191
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-64000-66000-on-august-4-2026,"64,000-66,000",2026-08-04T16:00:00Z,0.38,0.4,0.42,2825.3668930000003,18944.2754,112726.28,120609.76,6445452986012596592134593372753913412715136037195509709403062538703115089280
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-66000-68000-on-august-4-2026,"66,000-68,000",2026-08-04T16:00:00Z,0.007,0.021,0.021,4530.591557000001,15771.60352,18472.1,268740.58999999997,46170631998285124983451583891028774390257894058093398140304898671003894173062
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-68000-70000-on-august-4-2026,"68,000-70,000",2026-08-04T16:00:00Z,,0.006,0.001,6670.946317000002,17321.11868,0,272331.89,36489905421441190665062970575164422570811468964574954330734238934814467988751
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-between-70000-72000-on-august-4-2026,"70,000-72,000",2026-08-04T16:00:00Z,,0.001,0.002,3893.6158560000013,34620.78162,0,171231.64,77504457793476849311144865132332917558499904231648151042070404548296505285295
polymarket,BTC,range,bitcoin-price-on-august-4-2026,will-the-price-of-bitcoin-be-greater-than-72000-on-august-4-2026,">72,000",2026-08-04T16:00:00Z,,0.001,0.007,644.079241,32181.73124,0,123840.56000000003,55007803915185010851414263834499674294301773582898916749734296485119497225167
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-less-than-54000-on-august-5-2026,"<54,000",2026-08-05T16:00:00Z,,0.001,0.006,1885.108666,33623.03001,0,290227.74,32390883041911760421289018438191046704349853329020233790594454949532707228715
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-54000-56000-on-august-5-2026,"54,000-56,000",2026-08-05T16:00:00Z,0.002,0.01,0.009,2466.416664,15487.79386,869.99,198558.11000000002,106945489361223144242786476090706348885152725371721507697171284107412898479732
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-56000-58000-on-august-5-2026,"56,000-58,000",2026-08-05T16:00:00Z,0.003,0.01,0.013,2638.9330750000004,15060.97356,1007.0,268184.85,96222993182148974432916160639861494918772102111289050968981401548232974386849
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-58000-60000-on-august-5-2026,"58,000-60,000",2026-08-05T16:00:00Z,0.003,0.03,0.007,4403.880149999999,14686.93466,7380.2,268557.19,39947622517769110420136017946453518130311379921164384365636106193807265960905
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-60000-62000-on-august-5-2026,"60,000-62,000",2026-08-05T16:00:00Z,0.08,0.1,0.18,4166.910689,15107.2513,7025.0,125966.57,36400716501481558340467362867021393297181354242724284497733469863962069692702
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-62000-64000-on-august-5-2026,"62,000-64,000",2026-08-05T16:00:00Z,0.44,0.46,0.44,3152.453347999999,19302.6265,112137.56,119571.64000000001,78984593166352342035742765264408663071005745614894637079050674977039292467000
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-64000-66000-on-august-5-2026,"64,000-66,000",2026-08-05T16:00:00Z,0.36,0.39,0.4,1112.717355,18329.4134,110326.28,124337.64,8761827504025434676609046427704495792874166003012658674972032972050008880555
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-66000-68000-on-august-5-2026,"66,000-68,000",2026-08-05T16:00:00Z,0.05,0.06,0.053,378.19302300000004,6852.30753,16276.48,16414.0,105213661183487629646627229826128941752153216649387252825701866680808197298499
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-68000-70000-on-august-5-2026,"68,000-70,000",2026-08-05T16:00:00Z,0.004,0.02,,15.02,7280.24636,1049.98,28829.09,57597255201619485703523428829950575389941514672631994403410542164250989952273
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-between-70000-72000-on-august-5-2026,"70,000-72,000",2026-08-05T16:00:00Z,0.001,0.006,0.001,1530.006333,15933.54538,156.0,267844.43000000005,82382159864778750979602020012210109870706054716091429373674107693611763704865
polymarket,BTC,range,bitcoin-price-on-august-5-2026,will-the-price-of-bitcoin-be-greater-than-72000-on-august-5-2026,">72,000",2026-08-05T16:00:00Z,,0.001,0.001,608.788,31004.11844,0,166417.77000000002,37991875278406261939086879825342274363792279967270871971642830240746122881965
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-less-than-56000-on-august-6-2026,"<56,000",2026-08-06T16:00:00Z,0.002,0.024,,123.008666,6465.60692,1090.0,26487.730000000003,32612672332458102826272565633524319030426770716605542838688130700030785396064
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-56000-58000-on-august-6-2026,"56,000-58,000",2026-08-06T16:00:00Z,0.004,0.03,,15,5984.96676,940.0,26066.82,37272334360099063174073173122990410104948061782811995384659046321461373006758
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-58000-60000-on-august-6-2026,"58,000-60,000",2026-08-06T16:00:00Z,0.01,0.033,0.11,796.175108,5055.17133,15011.460000000001,134720.11000000002,14499588400144971909949238908493351908940246628524752520236378129954386010045
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-60000-62000-on-august-6-2026,"60,000-62,000",2026-08-06T16:00:00Z,0.12,0.13,0.13,3023.1341740000003,14669.0133,5222.12,124409.58999999998,29457056154646043471833901678750282169350240023606418012152777388968442036571
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-62000-64000-on-august-6-2026,"62,000-64,000",2026-08-06T16:00:00Z,0.37,0.39,0.4,834.5640610000002,13507.2972,76422.72,83153.71000000002,60445201955258883839100765917711867314293351213961600125860923685380745263155
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-64000-66000-on-august-6-2026,"64,000-66,000",2026-08-06T16:00:00Z,0.34,0.35,0.32,858.449482,13495.1575,77817.72,85020.92000000001,62657424974016919030335467817710927974704587222659179444399272407418881758156
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-66000-68000-on-august-6-2026,"66,000-68,000",2026-08-06T16:00:00Z,0.071,0.13,0.11,80,5118.76959,13879.08,26372.76,54536325254375733711915740446870409112577278610482617746042392494296493453970
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-68000-70000-on-august-6-2026,"68,000-70,000",2026-08-06T16:00:00Z,0.01,0.043,0.048,30.833332,6034.21998,13756.92,26108.920000000002,72353739249966747949205738402855238208349920161596143952906747983847117543047
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-70000-72000-on-august-6-2026,"70,000-72,000",2026-08-06T16:00:00Z,0.003,0.029,,53.956666,5975.30957,1057.04,26007.66,35937591263343407272354256370655353965814801785700462080846733489872784296972
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-between-72000-74000-on-august-6-2026,"72,000-74,000",2026-08-06T16:00:00Z,0.003,0.019,,59.252666,6373.63036,895.74,26361.46,69786380053593364733082632582208558211015571435054176349198580702258997495134
polymarket,BTC,range,bitcoin-price-on-august-6-2026,will-the-price-of-bitcoin-be-greater-than-74000-on-august-6-2026,">74,000",2026-08-06T16:00:00Z,0.002,0.009,,63.086,5547.3802,728.95,9275.480000000001,86910854902945163815285315289846844538454306690687302242766836616635813283133
polymarket,BTC,range,bitcoin-price-on-august-7-2026,will-the-price-of-bitcoin-be-less-than-54000-on-august-7-2026,"<54,000",2026-08-07T16:00:00Z,0.002,0.019,,86.16125,6471.43255,683.83,26497.829999999998,36273588166009370881291576492263566541456557714653471277905718358872988926962
polymarket,BTC,range,bitcoin-price-on-august-7-2026,will-the-price-of-bitcoin-be-between-54000-56000-on-august-7-2026,"54,000-56,000",2026-08-07T16:00:00Z,0.004,0.029,,25,6363.20916,865.0,26662.58,36068599280618897039028014617785162986886912640528682798548947639004976806467
polymarket,BTC,range,bitcoin-price-on-august-7-2026,will-the-price-of-bitcoin-be-between-56000-58000-on-august-7-2026,"56,000-58,000",2026-08-07T16:00:00Z,0.01,0.032,,,5971.99042,1041.27,18306.14,42267196203334395435883905963517841538639909177614424930802401761698179429740
